similarity,params,K_NEIGH,K_PRED,RMSE,MAE,Coverage
pearson_shrink,"{'MIN_OVERLAP': 2, 'LAMBDA': 5}",10,20,0.9863638447694562,0.7765041417351993,1.0
pearson_shrink,"{'MIN_OVERLAP': 2, 'LAMBDA': 5}",10,40,0.9863638447694562,0.7765041417351993,1.0
pearson_shrink,"{'MIN_OVERLAP': 2, 'LAMBDA': 10}",10,5,0.9897087203253758,0.7775913890766913,1.0
pearson_shrink,"{'MIN_OVERLAP': 2, 'LAMBDA': 10}",10,10,0.9824017776741539,0.769622499625265,1.0
pearson_shrink,"{'MIN_OVERLAP': 2, 'LAMBDA': 10}",10,20,0.9824017776741539,0.769622499625265,1.0
pearson_shrink,"{'MIN_OVERLAP': 2, 'LAMBDA': 10}",10,40,0.9824017776741539,0.769622499625265,1.0
pearson_shrink,"{'MIN_OVERLAP': 2, 'LAMBDA': 20}",10,5,0.9877932695996112,0.7783609159872159,1.0
pearson_shrink,"{'MIN_OVERLAP': 2, 'LAMBDA': 20}",10,10,0.9829091006226441,0.7729983859623792,1.0
pearson_shrink,"{'MIN_OVERLAP': 2, 'LAMBDA': 20}",10,20,0.9829091006226441,0.7729983859623792,1.0
pearson_shrink,"{'MIN_OVERLAP': 2, 'LAMBDA': 20}",10,40,0.9829091006226441,0.7729983859623792,1.0
pearson_shrink,"{'MIN_OVERLAP': 5, 'LAMBDA': 5}",10,5,0.9848379122885997,0.7720415568064061,1.0
pearson_shrink,"{'MIN_OVERLAP': 5, 'LAMBDA': 5}",10,10,0.9831994401158534,0.7745684203227641,1.0
pearson_shrink,"{'MIN_OVERLAP': 5, 'LAMBDA': 5}",10,20,0.9831994401158534,0.7745684203227641,1.0
pearson_shrink,"{'MIN_OVERLAP': 5, 'LAMBDA': 5}",10,40,0.9831994401158534,0.7745684203227641,1.0
pearson_shrink,"{'MIN_OVERLAP': 5, 'LAMBDA': 10}",10,5,0.9863390810513286,0.7734644514833506,1.0
pearson_shrink,"{'MIN_OVERLAP': 5, 'LAMBDA': 10}",10,10,0.981714126397629,0.7700290885061091,1.0
pearson_shrink,"{'MIN_OVERLAP': 5, 'LAMBDA': 10}",10,20,0.981714126397629,0.7700290885061091,1.0
pearson_shrink,"{'MIN_OVERLAP': 5, 'LAMBDA': 10}",10,40,0.981714126397629,0.7700290885061091,1.0
pearson_shrink,"{'MIN_OVERLAP': 5, 'LAMBDA': 20}",10,5,0.9849373381765066,0.7749300028049193,1.0
pearson_shrink,"{'MIN_OVERLAP': 5, 'LAMBDA': 20}",10,10,0.9812588568694158,0.7712999605430853,1.0
pearson_shrink,"{'MIN_OVERLAP': 5, 'LAMBDA': 20}",10,20,0.9812588568694158,0.7712999605430853,1.0
pearson_shrink,"{'MIN_OVERLAP': 5, 'LAMBDA': 20}",10,40,0.9812588568694158,0.7712999605430853,1.0
pearson_shrink,"{'MIN_OVERLAP': 10, 'LAMBDA': 5}",10,5,0.9900412426317252,0.7773781676532737,1.0
pearson_shrink,"{'MIN_OVERLAP': 10, 'LAMBDA': 5}",10,10,0.9898748646870603,0.7784428810438397,1.0
pearson_shrink,"{'MIN_OVERLAP': 10, 'LAMBDA': 5}",10,20,0.9898748646870603,0.7784428810438397,1.0
pearson_shrink,"{'MIN_OVERLAP': 10, 'LAMBDA': 5}",10,40,0.9898748646870603,0.7784428810438397,1.0
pearson_shrink,"{'MIN_OVERLAP': 10, 'LAMBDA': 10}",10,5,0.9903492830061454,0.7773159347531141,1.0
pearson_shrink,"{'MIN_OVERLAP': 10, 'LAMBDA': 10}",10,10,0.9891310858356559,0.775498071331379,1.0
pearson_shrink,"{'MIN_OVERLAP': 10, 'LAMBDA': 10}",10,20,0.9891310858356559,0.775498071331379,1.0
pearson_shrink,"{'MIN_OVERLAP': 10, 'LAMBDA': 10}",10,40,0.9891310858356559,0.775498071331379,1.0
pearson_shrink,"{'MIN_OVERLAP': 10, 'LAMBDA': 20}",10,5,0.9878192046253406,0.7774951008872552,1.0
pearson_shrink,"{'MIN_OVERLAP': 10, 'LAMBDA': 20}",10,10,0.9888312115985806,0.7761581811934618,1.0
